Label,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,Party?
P1,n,y,n,y,y,y,n,n,n,y,?,y,y,y,n,y,republican
P2,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,?,republican
P3,?,y,y,?,y,y,n,n,n,n,y,n,y,y,n,n,democrat
P4,n,y,y,n,?,y,n,n,n,n,y,n,y,n,n,y,democrat
P5,y,y,y,n,y,y,n,n,n,n,y,?,y,y,y,y,democrat
P6,n,y,y,n,y,y,n,n,n,n,n,n,y,y,y,y,democrat
P7,n,y,n,y,y,y,n,n,n,n,n,n,?,y,y,y,democrat
P8,n,y,n,y,y,y,n,n,n,n,n,n,y,y,?,y,republican
P9,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
P10,y,y,y,n,n,n,y,y,y,n,n,n,n,n,?,?,democrat
P11,n,y,n,y,y,n,n,n,n,n,?,?,y,y,n,n,republican
P12,n,y,n,y,y,y,n,n,n,n,y,?,y,y,?,?,republican
P13,n,y,y,n,n,n,y,y,y,n,n,n,y,n,?,?,democrat
P14,y,y,y,n,n,y,y,y,?,y,y,?,n,n,y,?,democrat
P15,n,y,n,y,y,y,n,n,n,n,n,y,?,?,n,?,republican
P16,n,y,n,y,y,y,n,n,n,y,n,y,y,?,n,?,republican
P17,y,n,y,n,n,y,n,y,?,y,y,y,?,n,n,y,democrat
P18,y,?,y,n,n,n,y,y,y,n,n,n,y,n,y,y,democrat
P19,n,y,n,y,y,y,n,n,n,n,n,?,y,y,n,n,republican
P20,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y,democrat
P21,y,y,y,n,n,?,y,y,n,n,y,n,n,n,y,y,democrat
P22,y,y,y,n,n,n,y,y,y,n,n,n,?,?,y,y,democrat
P23,y,?,y,n,n,n,y,y,y,n,n,?,n,n,y,y,democrat
P24,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y,democrat
P25,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,?,democrat
P26,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y,democrat
P27,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y,democrat
P28,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y,democrat
P29,y,n,n,y,y,n,y,y,y,n,n,y,y,y,n,y,republican
P30,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y,democrat
P31,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
P32,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,?,democrat
P33,y,y,y,n,n,n,y,y,y,y,n,n,y,n,y,y,democrat
P34,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
P35,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y,democrat
P36,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
P37,y,?,n,y,y,y,n,n,n,y,n,y,?,y,n,y,republican
P38,y,y,n,y,y,y,n,n,n,n,n,n,y,y,n,y,republican
P39,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n,republican
P40,y,n,y,n,n,n,y,y,y,y,y,n,y,n,y,y,democrat
P41,y,y,y,n,n,n,y,y,y,n,?,n,n,n,n,?,democrat
P42,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,?,democrat
P43,y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y,democrat
P44,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y,democrat
P45,y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,?,democrat
P46,y,y,y,n,n,n,y,y,?,n,y,n,n,n,y,?,democrat
P47,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y,democrat
P48,y,n,y,n,n,n,y,y,?,n,n,n,n,n,n,?,democrat
P49,y,y,y,n,n,n,y,y,n,n,n,n,n,y,n,y,democrat
P50,n,?,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
P51,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y,democrat
P52,n,y,n,y,y,y,n,?,n,n,n,y,y,y,n,y,republican
P53,y,y,y,n,n,n,y,y,y,n,n,n,n,n,?,?,democrat
P54,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n,republican
P55,y,y,y,n,n,y,?,y,n,n,y,y,n,y,n,?,democrat
P56,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,n,republican
P57,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,y,republican
P58,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
P59,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
P60,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,?,republican
P61,y,y,y,n,n,?,y,y,y,y,n,n,n,n,y,?,democrat
P62,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
P63,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,?,democrat
P64,y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,y,democrat
P65,y,y,y,n,n,n,y,y,y,n,y,?,n,n,n,y,democrat
P66,y,y,n,y,y,y,y,n,n,n,n,y,y,y,n,y,republican
P67,n,y,n,y,y,y,y,n,n,n,y,y,y,y,n,y,republican
P68,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n,republican
P69,y,?,y,n,n,n,y,y,y,n,n,n,y,n,y,y,democrat
P70,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y,democrat
P71,y,n,y,n,n,n,y,y,y,n,n,n,y,n,y,?,democrat
P72,y,y,y,y,n,n,y,y,y,y,y,n,n,y,n,y,republican
P73,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,?,democrat
P74,y,n,y,y,y,n,y,n,y,y,n,n,y,y,n,y,republican
P75,y,n,y,n,n,y,y,y,y,y,y,n,n,y,y,y,democrat
P76,n,y,y,y,y,y,n,n,n,y,y,n,y,y,n,n,democrat
P77,n,y,y,n,y,y,n,n,n,y,y,y,y,y,n,?,democrat
P78,n,y,y,y,y,y,n,y,y,y,y,y,y,y,n,y,democrat
P79,y,y,y,n,y,y,n,n,n,y,y,n,y,y,n,y,democrat
P80,n,n,n,y,y,n,n,n,n,y,n,y,y,y,n,n,republican
P81,y,n,y,n,n,y,y,y,y,y,n,y,n,y,n,?,democrat
P82,y,n,y,n,n,n,y,y,?,y,y,y,n,y,n,y,democrat
P83,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
P84,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
P85,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,n,republican
P86,n,n,y,n,y,y,n,n,n,y,y,y,y,y,n,y,democrat
P87,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n,republican
P88,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
P89,n,y,y,n,y,y,y,n,y,y,y,n,y,y,n,y,democrat
P90,n,n,n,y,y,y,n,n,n,y,n,?,y,y,n,?,republican
P91,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y,democrat
P92,y,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y,democrat
P93,y,y,y,n,n,n,y,y,n,y,y,n,n,?,y,y,democrat
P94,y,n,y,n,n,n,y,n,y,y,y,n,n,n,y,y,democrat
P95,y,n,y,n,y,y,n,n,n,n,n,n,n,n,n,y,democrat
P96,y,n,y,n,y,y,n,?,?,n,y,?,?,?,y,y,democrat
P97,n,n,?,n,y,y,n,n,n,n,y,y,y,y,n,y,democrat
P98,y,n,n,n,y,y,y,n,n,y,y,n,n,y,n,y,democrat
P99,y,y,y,n,n,y,y,y,y,y,n,n,n,n,n,y,democrat
P100,n,n,n,y,y,y,n,n,n,y,?,y,y,y,n,n,republican
P101,y,n,n,n,y,y,n,n,n,n,y,y,n,y,n,y,democrat
P102,y,n,y,n,y,y,y,n,n,n,y,n,n,y,n,y,democrat
P103,y,n,y,n,y,y,y,n,?,n,y,n,y,y,y,?,democrat
P104,y,n,n,n,y,y,?,n,?,n,n,n,n,y,?,n,democrat
P105,?,?,?,?,n,y,y,y,y,y,?,n,y,y,n,?,democrat
P106,y,y,y,n,n,n,n,y,y,n,y,n,n,n,y,y,democrat
P107,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
P108,n,?,?,?,?,?,?,?,?,?,?,?,?,y,?,?,republican
P109,y,?,y,n,n,n,y,y,y,n,n,n,n,n,y,?,democrat
P110,y,?,y,n,n,n,y,y,y,n,n,n,n,n,y,?,democrat
P111,n,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y,democrat
P112,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
P113,n,?,y,n,n,y,y,y,n,y,n,n,n,n,y,?,democrat
P114,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,n,republican
P115,y,?,y,n,n,n,y,y,y,n,n,n,n,n,y,?,democrat
P116,n,?,y,n,?,?,y,y,y,y,?,?,n,n,y,y,democrat
P117,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y,democrat
P118,y,y,y,y,y,n,y,n,n,n,n,y,y,y,n,y,republican
P119,n,y,y,n,n,n,n,y,y,y,y,n,n,n,y,y,democrat
P120,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
P121,n,?,?,y,y,y,n,n,n,y,n,y,y,y,?,y,republican
P122,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
P123,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y,republican
P124,y,?,n,y,y,y,n,y,n,n,n,y,y,y,n,y,republican
P125,n,?,y,n,n,n,y,y,y,n,n,n,n,n,y,y,democrat
P126,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
P127,n,?,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
P128,n,?,y,n,n,n,y,y,y,y,y,n,n,y,y,y,democrat
P129,n,?,y,n,n,y,n,y,n,y,y,n,n,n,y,y,democrat
P130,?,?,y,n,n,n,y,y,?,n,?,?,?,?,?,?,democrat
P131,y,?,y,n,?,?,y,y,y,n,n,n,n,n,y,?,democrat
P132,n,n,y,n,n,y,n,y,y,y,n,n,n,y,n,y,democrat
P133,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,?,republican
P134,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
P135,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,?,republican
P136,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n,republican
P137,n,y,n,y,y,y,n,n,n,y,y,y,y,n,n,y,republican
P138,n,?,y,n,n,y,y,y,y,y,n,n,n,y,y,y,democrat
P139,n,n,y,n,n,y,y,y,y,y,n,n,n,y,n,y,democrat
P140,y,n,y,n,n,y,y,y,y,n,n,n,n,n,y,y,democrat
P141,n,n,n,y,n,n,y,y,y,y,n,n,y,y,n,y,republican
P142,n,n,n,y,y,y,y,y,y,y,n,y,y,y,?,y,republican
P143,n,n,n,y,y,y,y,y,y,y,n,y,y,y,n,y,republican
P144,?,y,n,n,n,n,y,y,y,y,y,n,n,y,y,y,democrat
P145,n,?,n,n,n,y,y,y,y,y,n,n,n,y,n,?,democrat
P146,n,n,y,n,n,y,y,y,y,y,n,n,n,y,?,y,democrat
P147,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
P148,n,n,n,n,n,n,y,y,y,y,n,y,y,y,y,y,democrat
P149,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,y,republican
P150,n,n,y,n,n,n,y,y,y,y,n,n,y,n,y,y,democrat
P151,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
P152,y,y,?,y,y,y,n,n,y,n,y,?,y,y,n,n,democrat
P153,n,y,y,n,n,y,n,y,y,y,y,n,y,n,y,y,democrat
P154,n,n,y,n,n,y,y,y,y,y,y,n,y,y,n,y,democrat
P155,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
P156,y,y,n,y,y,y,n,?,n,n,y,y,y,y,n,n,republican
P157,y,y,n,y,y,y,y,n,n,n,n,y,y,y,n,n,republican
P158,n,y,y,n,n,y,n,y,y,n,y,n,?,?,?,?,democrat
P159,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n,republican
P160,n,y,y,n,?,y,y,y,y,y,y,n,n,?,n,?,democrat
P161,n,y,n,n,y,y,n,n,n,n,n,y,y,y,y,y,democrat
