ID,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,Result
0,Never,Sometimes,Never,Never,Never,Never,Sometimes,Sometimes,Never,Sometimes,Never,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Never,Never,Sometimes,True
1,Sometimes,Sometimes,Never,Sometimes,Sometimes,Never,Never,Never,Never,Never,Sometimes,Never,Never,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes,Never,False
2,Never,Never,Sometimes,Never,Sometimes,Never,Never,Sometimes,Never,Never,Never,Never,Sometimes,Never,Sometimes,Never,Never,Never,Never,Never,True
3,Never,Never,Sometimes,Never,Sometimes,Never,Sometimes,Never,Never,Never,Sometimes,Sometimes,Never,Never,Never,Sometimes,Never,Sometimes,Sometimes,Sometimes,False
4,Sometimes,Never,Sometimes,Sometimes,Never,Never,Never,Sometimes,Never,Never,Never,Never,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,True
5,Never,Never,Sometimes,Sometimes,Never,Never,Sometimes,Never,Never,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,False
6,Never,Sometimes,Never,Never,Never,Never,Sometimes,Never,Never,Never,Never,Never,Never,Sometimes,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,True
7,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Never,Sometimes,Sometimes,Never,Never,Sometimes,Never,Sometimes,Sometimes,Never,Never,Never,False
8,Never,Sometimes,Never,Never,Sometimes,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Sometimes,True
9,Sometimes,Never,Sometimes,Never,Never,Never,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes,Never,Sometimes,Never,Never,Never,Sometimes,Never,False
10,Sometimes,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Never,Never,Never,Never,Never,Never,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,True
11,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Never,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Never,False
12,Sometimes,Sometimes,Never,Never,Never,Never,Sometimes,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Never,Sometimes,Never,Sometimes,True
13,Never,Never,Sometimes,Sometimes,Never,Never,Sometimes,Never,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Never,Sometimes,Never,False
14,Never,Never,Sometimes,Never,Sometimes,Sometimes,Never,Sometimes,Never,Never,Never,Never,Never,Sometimes,Sometimes,Never,Never,Never,Never,Never,True
15,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,False
16,Sometimes,Sometimes,Never,Never,Sometimes,Never,Sometimes,Sometimes,Never,Sometimes,Never,Sometimes,Never,Never,Never,Never,Sometimes,Never,Never,Never,True
17,Sometimes,Never,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Never,Sometimes,Sometimes,Never,Never,Never,Sometimes,Sometimes,Never,False
18,Never,Never,Sometimes,Never,Sometimes,Never,Never,Sometimes,Never,Sometimes,Never,Sometimes,Never,Never,Never,Sometimes,Never,Sometimes,Never,Sometimes,True
19,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Sometimes,Never,Never,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,Never,Never,False
20,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Sometimes,Never,Never,Sometimes,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,True
21,Sometimes,Sometimes,Sometimes,Never,Never,Sometimes,Never,Never,Never,Never,Sometimes,Never,Sometimes,Sometimes,Never,Never,Sometimes,Never,Sometimes,Sometimes,False
22,Sometimes,Never,Sometimes,Never,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,Never,Never,Never,Sometimes,Never,Sometimes,Never,Never,Never,Never,True
23,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Never,Sometimes,Sometimes,Never,Never,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes,False
24,Sometimes,Never,Sometimes,Sometimes,Never,Never,Sometimes,Sometimes,Never,Sometimes,Never,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Never,Never,Never,True
25,Never,Never,Never,Never,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,Never,Never,Never,Never,Never,Sometimes,Never,Sometimes,False
26,Sometimes,Never,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,Never,Never,Never,Sometimes,Never,Sometimes,Sometimes,Never,Never,Sometimes,Never,Never,True
27,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never,False
28,Sometimes,Never,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,Never,Never,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Sometimes,True
29,Sometimes,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Never,Never,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,False
30,Never,Never,Sometimes,Never,Never,Sometimes,Never,Sometimes,Sometimes,Never,Never,Sometimes,Never,Never,Never,Never,Sometimes,Never,Sometimes,Never,True
31,Sometimes,Never,Never,Sometimes,Sometimes,Never,Sometimes,Never,Never,Sometimes,Never,Never,Never,Sometimes,Never,Never,Sometimes,Never,Sometimes,Sometimes,False
32,Sometimes,Never,Never,Sometimes,Sometimes,Never,Never,Sometimes,Never,Sometimes,Never,Never,Sometimes,Never,Never,Never,Never,Sometimes,Never,Never,True
33,Sometimes,Sometimes,Never,Never,Sometimes,Never,Never,Never,Never,Sometimes,Sometimes,Never,Never,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Never,False
34,Never,Never,Sometimes,Never,Sometimes,Sometimes,Never,Sometimes,Never,Sometimes,Never,Never,Never,Never,Never,Sometimes,Never,Sometimes,Sometimes,Sometimes,True
35,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,Never,Never,Never,Sometimes,Never,Never,Never,Never,Never,False
36,Never,Sometimes,Never,Never,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Never,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Never,Never,True
37,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,False
38,Never,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Never,Never,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,Never,Never,Sometimes,True
39,Never,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,Never,Never,Never,Never,Sometimes,Never,False
40,Never,Sometimes,Never,Never,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Sometimes,Sometimes,True
41,Sometimes,Never,Never,Never,Never,Never,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,Never,Never,Never,Never,Never,Never,Sometimes,Sometimes,False
42,Never,Sometimes,Never,Never,Never,Sometimes,Sometimes,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,Never,Never,True
43,Never,Never,Sometimes,Never,Never,Never,Sometimes,Never,Sometimes,Never,Never,Sometimes,Never,Sometimes,Never,Never,Sometimes,Never,Sometimes,Sometimes,False
44,Sometimes,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Never,True
45,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Never,Never,Never,Sometimes,Sometimes,Sometimes,Never,Never,Sometimes,Never,Never,Sometimes,Never,Never,False
46,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Sometimes,Never,Never,Sometimes,Never,Sometimes,Sometimes,Never,Never,Sometimes,True
47,Sometimes,Never,Never,Never,Sometimes,Never,Never,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,False
48,Never,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes,Never,Never,Sometimes,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Never,Sometimes,True
49,Never,Never,Never,Never,Never,Never,Sometimes,Sometimes,Never,Never,Sometimes,Sometimes,Never,Never,Never,Never,Sometimes,Never,Never,Sometimes,False
50,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Sometimes,Sometimes,Never,Sometimes,Never,Sometimes,Never,Never,Never,True
51,Never,Sometimes,Sometimes,Sometimes,Never,Never,Never,Sometimes,Sometimes,Never,Never,Never,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes,False
52,Never,Sometimes,Never,Sometimes,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes,Never,Sometimes,True
53,Never,Never,Sometimes,Never,Never,Never,Sometimes,Never,Never,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Never,Never,Sometimes,Never,Sometimes,False
